Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Afghanistan,119.0000036,125.0000056,145.000009,145.000009,148.0000054,151.0000109,160.0000093,167.00001,138.0000082,127.0000032,105.0000021,94.00000614,7.999999558,7.000000747,6.000001936,5.000003126,2.999996432,1.999997621,1.999997621,0.999998811,0.999998811,26.00000537,21.00000224,35.00000374,34.00000492,32.99999704,35.00000374,243.0000104,347.0000137,500.0000223,725.0000359,1479.99824,1239.998525,1346.998398,1517.398195,1364.998377,1697.997981,2190.997394,#N/A,#N/A,#N/A
Albania,1418.000065,1540.000065,1700.000074,1850.000086,2010.000086,2150.000092,2167.000099,2134.000093,2184.000097,2193.000095,2070.997537,1086.998707,365.9995647,213.9997455,168.999799,79.99990486,112.9998656,38.99995362,48.99994173,48.99994173,29.99996432,20.99997503,14.99998216,57.99993102,57.99993102,44.99994648,44.99994648,44.99994648,60.99992746,9.999988107,9.999988107,4.999994054,6.999991675,8.999989297,16.64997884,24.29996838,13.99998335,15.2987181,#N/A,#N/A,#N/A
Algeria,2.999996432,9.499988702,15.99998097,22.49997324,22.74997294,22.99997265,10.99998692,9.499988702,9.999997179,8.999993833,10.74999629,12.49999874,15.0000003,20.00000343,22.99997265,22.00000105,12.00000387,10.99998692,5.500002531,0.900007094,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Angola,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Antarctica,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Argentina,389.9995362,497.9994078,514.9993875,485.999422,508.9993947,399.9995243,363.9995671,372.9995564,511.9993911,513.9993887,275.9996718,291.9996527,201.9997598,167.9998002,346.9995873,304.9996373,309.9996313,250.9997015,289.9996551,335.9996004,258.999692,185.9997788,45.99994529,88.99989416,50.99993935,95.99988583,140.9998323,109.9998692,160.9998085,144.4998282,127.9998478,111.4998674,94.99988702,82.99990129,56.99993221,33.99995957,26.59701334,27.92331866,#N/A,#N/A,#N/A
Armenia,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Australia,104503.8757,120972.8561,126187.8499,138511.8353,147679.8244,160725.8089,171510.796,194959.7681,175622.7911,195459.7675,204561.7567,219606.7388,228338.7284,226064.7312,225401.7319,241806.7124,247148.7061,264457.6855,287350.6583,291001.6539,306721.6352,329176.6085,339897.5958,341660.5937,350303.5834,370589.5593,374652.5544,391038.535,392250.5335,407897.5149,424402.0187,418937.0057,447047.9393,472755.7404,504223.8237,504503.1429,503273.4015,499466.406,483132.4254,#N/A,#N/A
Austria,2864.996593,3060.99636,3296.996079,3040.996383,2927.996518,3080.996336,2968.996469,2785.996687,2128.997468,2065.997543,2447.997089,2080.997525,1770.997894,1690.997989,1368.998372,1296.998458,1107.998682,1129.998656,1139.998644,1136.998648,1248.998515,1205.998566,1411.998321,1151.99863,234.9997205,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Azerbaijan,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Bangladesh,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,22.32197345,64.60492317,177.9997883,302.9996397,387.9995386,676.9991949,827.9990153,704.9991616,666.9992068,834.999007,854.9989832,946.9988738,675.9991961,1021.998785,1160.998619,#N/A,#N/A,#N/A
Belarus,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Belgium,6323.992479,6185.992643,6575.992179,6118.992723,6341.992458,6236.992583,5624.99331,4369.994803,2486.997042,1892.997749,1035.998768,633.999246,217.9997407,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Belize,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Benin,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Bhutan,0.050004023,0.090001798,0.099998974,0.199997948,0.399995896,0.500003941,0.800000863,1.830000273,1.999997621,1.999997621,1.999997621,1.999997621,56.00000598,45.99999973,64.00000553,68.00000078,64.00000553,53.99999928,50.00000404,50.00000404,50.00000404,84.59600212,88.56700374,66.32400419,29.63100322,85.27900337,97.9650022,105.2610083,101.3870594,80.76087395,60.60664792,103.1447673,112.2629965,77.74390754,121.890435,84.99989891,117.7828599,108.4247334,#N/A,#N/A,#N/A
Bolivia,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Bosnia and Herzegovina,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1499.998216,1299.998454,1399.998335,1639.99805,1689.99799,5452.993515,7034.991634,6771.991946,7438.991153,7551.991019,7974.41869,7172.004158,5639.413293,5765.791143,5895.605989,6133.416706,6760.68096,6704.231027,6393.338397,7102.250554,6970.52671,6236.899583,6166.915666,6047.092808,6501.963268,7131.372365,#N/A,#N/A,#N/A
Botswana,371.0000124,380.9995469,414.9995065,394.9995302,392.9995326,436.9994803,489.9994173,486.9994208,608.9992757,662.9992115,793.9990557,783.9990676,900.9989285,889.9989416,900.9989285,909.9989178,727.9991342,775.9990771,923.9989011,718.9991449,939.9988821,914.9989118,952.9988666,822.9990212,910.9989166,984.9988286,961.9988559,827.9990153,909.9989178,737.9991223,987.998825,787.9990629,1470.998251,1495.998221,1711.997964,2084.99752,1876.997768,2219.63536,2483.357047,#N/A,#N/A
Brazil,5241.993766,5688.993234,6345.992453,6736.991988,7518.991058,7711.990828,7390.99121,6883.991813,7330.991282,6670.992067,4594.994535,5187.99383,4730.994374,4594.994535,5133.993894,5198.993817,4804.994286,5646.993284,5515.99344,5659.993269,6805.991906,5653.993276,5143.993882,4645.994475,5405.993571,6254.992561,5881.993005,5964.992906,6611.992137,5708.993211,5414.99356,5504.993453,6615.992132,8593.98978,7936.990561,8028.990452,7004.991669,4818.994269,5016.994034,#N/A,#N/A
