Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Afghanistan,0.119000004,0.125000006,0.145000009,0.145000009,0.148000005,0.151000011,0.160000009,0.16700001,0.138000008,0.127000003,0.105000002,0.094000006,0.008,0.007000001,0.006000002,0.005000003,0.002999996,0.001999998,0.001999998,0.000999999,0.000999999,0.026000005,0.021000002,0.035000004,0.034000005,0.032999997,0.035000004,0.24300001,0.347000014,0.500000022,0.725000036,1.47999824,1.239998525,1.346998398,1.517398195,1.364998377,1.697997981,2.190997394,#N/A,#N/A,#N/A
Albania,1.418000065,1.540000065,1.700000074,1.850000086,2.010000086,2.150000092,2.167000099,2.134000093,2.184000097,2.193000095,2.070997537,1.086998707,0.365999565,0.213999746,0.168999799,0.079999905,0.112999866,0.038999954,0.048999942,0.048999942,0.029999964,0.020999975,0.014999982,0.057999931,0.057999931,0.044999946,0.044999946,0.044999946,0.060999927,0.009999988,0.009999988,0.004999994,0.006999992,0.008999989,0.016649979,0.024299968,0.013999983,0.015298718,#N/A,#N/A,#N/A
Algeria,0.002999996,0.009499989,0.015999981,0.022499973,0.022749973,0.022999973,0.010999987,0.009499989,0.009999997,0.008999994,0.010749996,0.012499999,0.015,0.020000003,0.022999973,0.022000001,0.012000004,0.010999987,0.005500003,0.000900007,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Angola,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Antarctica,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Argentina,0.389999536,0.497999408,0.514999388,0.485999422,0.508999395,0.399999524,0.363999567,0.372999556,0.511999391,0.513999389,0.275999672,0.291999653,0.20199976,0.1679998,0.346999587,0.304999637,0.309999631,0.250999702,0.289999655,0.3359996,0.258999692,0.185999779,0.045999945,0.088999894,0.050999939,0.095999886,0.140999832,0.109999869,0.160999809,0.144499828,0.127999848,0.111499867,0.094999887,0.082999901,0.056999932,0.03399996,0.026597013,0.027923319,#N/A,#N/A,#N/A
Armenia,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Australia,104.5038757,120.9728561,126.1878499,138.5118353,147.6798244,160.7258089,171.510796,194.9597681,175.6227911,195.4597675,204.5617567,219.6067388,228.3387284,226.0647312,225.4017319,241.8067124,247.1487061,264.4576855,287.3506583,291.0016539,306.7216352,329.1766085,339.8975958,341.6605937,350.3035834,370.5895593,374.6525544,391.038535,392.2505335,407.8975149,424.4020187,418.9370057,447.0479393,472.7557404,504.2238237,504.5031429,503.2734015,499.466406,483.1324254,#N/A,#N/A
Austria,2.864996593,3.06099636,3.296996079,3.040996383,2.927996518,3.080996336,2.968996469,2.785996687,2.128997468,2.065997543,2.447997089,2.080997525,1.770997894,1.690997989,1.368998372,1.296998458,1.107998682,1.129998656,1.139998644,1.136998648,1.248998515,1.205998566,1.411998321,1.15199863,0.234999721,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Azerbaijan,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
