Country,Coal,Petroleum,Gas,Electricity,Biofuels
Afghanistan,1697.99798,#N/A,0.189001784,1.254,#N/A
Albania,13.9999834,22.81763388,0.03500033,4.481,#N/A
Algeria,0.90000709,1698.785656,183.8257349,71.483,#N/A
Angola,#N/A,1796.742754,10.54109948,10.676,11.04718075
Antarctica,#N/A,#N/A,#N/A,0.001,#N/A
Argentina,26.5970133,708.7701475,43.00040582,138.359,3156.156397
Armenia,#N/A,0.000247187,#N/A,7.362,#N/A
Australia,503273.401,373.7283716,67.51663719,244.543,284.3228494
Austria,234.999721,159.4152022,100.2630119,62.4021,459.5281694
Azerbaijan,#N/A,843.5462514,27.29025755,22.961,#N/A
Bangladesh,1021.99878,4.105,26.86161742,68.84,#N/A
Belarus,#N/A,32.58366667,0.239002256,32.487,28.43470035
Belgium,217.999741,24.423,0.002000019,80.887,506.9887241
Belize,#N/A,2,#N/A,0.409,#N/A
Benin,#N/A,0.4,#N/A,0.311,#N/A
Bhutan,117.78286,#N/A,#N/A,7.65202,#N/A
Bolivia,#N/A,77.63486885,21.00019819,9.499,100.1757964
Bosnia and Herzegovina,6501.96327,0.248,0.899909385,15.689,#N/A
Botswana,1873.99777,#N/A,#N/A,2.841,#N/A
Brazil,7004.99167,3242.957836,37.890486,577.943,24421.15402
Brunei,#N/A,121.034388,12.4501175,3.908,#N/A
Bulgaria,31230.9629,5.339,0.104355052,42.53,113.252009
Burkina Faso,#N/A,#N/A,#N/A,1.116,#N/A
Burundi,#N/A,#N/A,#N/A,0.22,#N/A
Cambodia,#N/A,0.6,#N/A,6.7193,#N/A
Cameroon,#N/A,92.469,2.56002416,8.322,#N/A
Canada,61330.9999,4596.72482,191.1868043,640.522,1771.865847
Central African Republic,#N/A,#N/A,#N/A,0.1514,#N/A
Chad,#N/A,114,0.010000094,0.2293,#N/A
Chile,2524.997,12.85849727,1.092010306,76.242,#N/A
China,3363982,4900.070874,129.1142185,6266.235,2921.855326
Colombia,90511.8816,909.0368197,27.73026171,73.355,796.5891773
Costa Rica,#N/A,1.571,#N/A,11.219,71.94110508
Croatia,14.9999822,18.52796721,1.829017262,11.362,1.018307273
Cuba,#N/A,49.73733333,1.37001293,19.37,82.85383274
Cyprus,#N/A,0.01,#N/A,4.73,0.509153636
Czech Republic,45313,15.58633333,0.247002331,81.023,277.6963655
Democratic Republic of the Congo,#N/A,#N/A,#N/A,#N/A,#N/A
Denmark,#N/A,145.673612,4.71304448,30.537,150.6950903
Djibouti,#N/A,#N/A,#N/A,0.3805,#N/A
Dominican Republic,#N/A,-0.116,#N/A,18.045,#N/A
East Timor,#N/A,#N/A,#N/A,#N/A,#N/A
Ecuador,#N/A,548.378765,1.677015827,28.604,85.82860059
Egypt,2.99999643,682.9041421,49.32846554,182.343,27.61792898
El Salvador,#N/A,#N/A,#N/A,5.291,210.655389
Equatorial Guinea,#N/A,244,8.400079277,1.725,#N/A
Eritrea,#N/A,#N/A,#N/A,0.4,#N/A
Estonia,#N/A,16,#N/A,12.255,#N/A
Ethiopia,#N/A,0.354,#N/A,13.7411,16.21272566
Falkland Islands,#N/A,#N/A,#N/A,0.017,#N/A
Fiji,#N/A,#N/A,#N/A,1.021,#N/A
Finland,#N/A,12.582,#N/A,65.408,142.3062913
France,159.99981,133.0140328,0.021000198,534.116,3007.813536
French Guiana,#N/A,#N/A,#N/A,1.12,#N/A
French Southern and Antarctic Lands,#N/A,#N/A,#N/A,#N/A,#N/A
Gabon,#N/A,210.4276721,2.57802433,2.191,#N/A
Gambia,#N/A,#N/A,#N/A,#N/A,#N/A
Georgia,296.499647,0.394,0.010000094,11.305,#N/A
Germany,175624.791,311.7104317,9.55009013,618.316,3883.273181
Ghana,#N/A,99.11365574,1.28001208,13.526,#N/A
Greece,32637.9612,15.74813115,0.004000038,52.672,157.3284737
Greenland,#N/A,#N/A,#N/A,0.506,#N/A
Guatemala,#N/A,12.03270219,#N/A,12.523,139.1095375
Guinea,#N/A,#N/A,#N/A,1.632,#N/A
Guinea Bissau,#N/A,#N/A,#N/A,#N/A,#N/A
Guyana,#N/A,#N/A,#N/A,1.0421,#N/A
Haiti,#N/A,#N/A,#N/A,0.962,#N/A
Honduras,#N/A,0.02,#N/A,8.963,#N/A
Hungary,9215.98904,36.01833333,1.772016724,31.178,489.1530605
