Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Area
Afghanistan,13356500,13171700,12882500,12537700,12204300,11938200,11736200,11604500,11618000,11868900,12412300,13299000,14485500,15816600,17075700,18110700,18853400,19357100,19737800,20170800,20780000,21607000,22600800,23680900,24726700,25654300,26433100,27100500,27722300,28394800,29185500,30117400,31161400,32269600,33370800,34413600,35383000,36296100,37173500,38041754,38928346,652230
Albania,2682700,2737020,2790280,2844870,2904140,2969670,3044200,3124890,3200970,3257910,3286070,3280400,3245890,3195200,3146520,3112920,3098700,3099750,3110700,3122700,3129250,3129700,3126180,3118020,3104890,3086810,3063020,3033990,3002680,2973040,2948030,2928600,2914090,2903790,2896310,2890520,2886430,2884170,2882050,2880917,2877797,28748
Algeria,19221700,19824300,20452900,21101900,21763600,22431500,23102400,23774300,24443500,25106200,25758900,26400500,27028300,27635500,28213800,28757800,29266400,29743000,30192800,30623400,31042200,31451500,31855100,32264200,32692200,33149700,33641000,34167000,34730600,35333900,35977400,36661400,37383900,38140100,38923700,39728000,40551400,41389200,42209800,43053054,43851044,2381741
Angola,8341290,8640480,8952970,9278100,9614760,9961990,10320100,10689200,11068000,11454800,11848400,12248900,12657400,13075000,13503800,13945200,14400700,14871600,15359600,15866900,16395500,16945800,17519400,18121500,18758100,19433600,20149900,20905400,21695600,22514300,23356200,24220700,25107900,26015800,26941800,27884400,28842500,29816800,30833300,31825295,32866272,1246700
Antarctica,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1050,1106,14000000
Argentina,27951930,28398000,28858300,29327900,29801630,30276050,30755450,31241600,31728100,32208150,32675950,33131900,33579750,34020120,34453770,34880850,35299200,35709000,36113680,36516900,36921700,37327620,37732750,38137020,38540620,38942950,39341350,39736480,40132930,40535520,40948950,41375930,41813050,42254680,42694980,43129300,43559050,43987200,37174500,44780677,45195774,2780400
Armenia,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3442820,3363110,3283660,3217350,3168210,3133080,3108690,3089020,3069600,3050690,3033980,3017940,3000720,2981260,2958300,2932610,2907610,2888090,2877310,2876540,2884240,2897590,2912400,2925560,2936150,2944790,2950940,2957731,2963243,29743
Australia,14725170,14957470,15208530,15415550,15604170,15816320,16048400,16297850,16575930,16846770,17090400,17309820,17500070,17661800,17832580,18034570,18253050,18447600,18636000,18842430,19060620,19303880,19525700,19749470,19965620,20214900,20504750,20877670,21309950,21736780,22068200,22390950,22784070,23172270,23521270,23862630,24245950,24648880,25036420,25203198,25499884,7692024
Austria,7550408,7572555,7571652,7561340,7561883,7565422,7570558,7575018,7587567,7625880,7686107,7765895,7851160,7911413,7937960,7949475,7960505,7968811,7978205,7994788,8013915,8047630,8086537,8126710,8179315,8234445,8272225,8298615,8324873,8345400,8366340,8395760,8435458,8486812,8556000,8657140,8745720,8803744,8845085,8955102,9006398,83871
Azerbaijan,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,7471920,7581750,7683700,7775420,7855560,7925670,7989900,8054130,8122740,8197290,8277070,8361430,8448940,8538610,8630150,8724240,8821870,8924380,9032460,9146280,9264680,9385470,9505620,9622740,9736040,9845320,37175500,10047718,10139177,86600
Bangladesh,79639500,81767500,83932100,86142500,88416500,90764200,93187600,95671200,98186400,1.01E+08,1.03E+08,1.06E+08,1.08E+08,1.10E+08,1.13E+08,1.15E+08,1.18E+08,1.20E+08,1.23E+08,1.25E+08,1.28E+08,1.30E+08,1.32E+08,1.35E+08,1.37E+08,1.39E+08,1.41E+08,1.43E+08,1.44E+08,1.46E+08,1.48E+08,1.49E+08,1.51E+08,1.53E+08,1.55E+08,1.56E+08,1.58E+08,1.60E+08,37175500,1.63E+08,1.65E+08,147570
Belarus,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,10154300,10135100,10108300,10077600,10044800,10009400,9969990,9924440,9871630,9811400,9745930,9679240,9616630,9562080,9516880,9480510,9452860,9433160,9420580,9415320,9417040,9423500,9431740,9439420,9445640,9450230,9449930,9452411,9449323,207600
Belgium,9860275,9857885,9856732,9854895,9855960,9858452,9862555,9871603,9908150,9940218,9972277,10008860,10050950,10088500,10119350,10138350,10160000,10184000,10205700,10229600,10254280,10292380,10338530,10381200,10427300,10486800,10557100,10636000,10720750,10807350,10940380,11047700,11114700,11164750,11216150,11283430,11336500,11381030,11434150,11539328,11589623,30528
Belize,144142,147572,151486,155820,160341,164918,169569,174333,179023,183471,187554,191136,194324,197625,201679,206962,213660,221575,230248,238979,247310,255068,262387,269428,276516,283798,291338,299031,306822,314655,322465,330236,338001,345707,353366,360926,368399,375775,383057,390353,397628,22966
Benin,3717160,3820130,3927720,4039940,4156820,4278500,4404500,4535260,4672840,4820020,4978490,5149500,5331810,5521760,5714210,5905550,6094270,6281640,6470270,6664100,6865950,7076730,7295400,7520560,7750000,7982220,8216890,8454790,8696920,8944710,9199250,9460830,9729250,10004600,10286800,10576000,10872100,11175200,37176500,11801151,12123200,112622
Bhutan,406883,418359,429835,441312,452788,464264,477571,490879,504186,517494,530801,531567,532332,533098,533863,534629,545906,557183,568460,579737,591014,602560,614106,625652,637198,648744,656096,663447,670799,678150,685502,693979,702455,710932,719408,727885,736630,745376,37176500,763092,771608,38394
Bolivia,5579930,5697100,5814340,5932810,6054130,6179460,6309130,6442820,6580320,6721120,6864840,7011460,7160920,7312860,7466790,7622330,7779270,7937450,8096760,8257070,8418270,8580240,8742820,8905820,9069040,9232300,9395450,9558440,9721460,9884790,10048600,10213000,10377700,10542400,10706500,10869700,11031800,11192800,11352900,11513100,11673021,1098581
Bosnia and Herzegovina,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4233670,4078940,3936530,3829050,3764420,3736070,3734340,3743350,3751180,3755510,3759390,3762180,3764190,3765330,3765420,3762790,3754260,3735950,3705480,3661170,3604970,3542600,3482110,3429360,3386260,3351530,3327960,3301000,3280819,51209
Botswana,897860,930412,962859,996124,1031440,1069580,1110950,1154900,1200070,1244480,1286760,1326320,1363540,1399110,1434060,1469170,1504720,1540420,1575830,1610260,1643330,1674670,1704640,1734390,1765530,1799080,1835910,1875460,1915640,1953490,1987110,2015410,2039550,2062550,2088620,2120720,2159930,2205080,2253930,2303697,2351627,582000
Brazil,1.21E+08,1.24E+08,1.27E+08,1.30E+08,1.33E+08,1.36E+08,1.38E+08,1.41E+08,1.44E+08,1.47E+08,1.49E+08,1.52E+08,1.55E+08,1.57E+08,1.60E+08,1.62E+08,1.65E+08,1.68E+08,1.70E+08,1.73E+08,1.75E+08,1.77E+08,1.80E+08,1.82E+08,1.84E+08,1.86E+08,1.88E+08,1.90E+08,1.92E+08,1.94E+08,1.96E+08,1.98E+08,2.00E+08,2.01E+08,2.03E+08,2.05E+08,2.06E+08,2.08E+08,37177500,2.11E+08,2.13E+08,8515767
Brunei,193880,200027,206064,212073,218176,224440,230917,237565,244405,251456,258714,266208,273888,281684,289452,297112,304620,311962,319135,326214,333166,340037,346777,353295,359434,365112,370262,374967,379418,383902,388634,393687,398997,404414,409778,414914,419791,424481,37177500,433285,437479,5765
Bulgaria,8865312,8894732,8920426,8942341,8963312,8957880,8960245,8972582,8982745,8849555,8706035,8623143,8526335,8469174,8439547,8400728,8357355,8304850,8250183,8205688,8164995,7974060,7829248,7767785,7709788,7651570,7593935,7538502,7486200,7438772,7389058,7343053,7300555,7260255,7218505,7171940,7121330,7069467,7018790,7000119,6948445,110879
Burkina Faso,6822840,6985170,7158260,7340910,7531240,7727910,7930690,8140080,8356310,8579820,8811030,9050090,9297110,9552470,9816580,10089900,10372700,10665500,10968700,11282700,11608000,11944600,12293100,12654600,13030600,13421900,13829200,14252000,14689700,15141100,15605200,16081900,16571200,17072800,17586000,18110600,18646300,19193200,19763200,20321378,20903273,272967
Burundi,4157300,4276010,4394710,4513420,4632130,4750840,4888460,5026080,5163710,5301330,5438960,5548570,5658190,5767810,5877430,5987040,6065410,6143770,6222140,6300500,6378870,6576070,6773270,6970470,7167660,7364860,7627010,7889160,8151310,8413450,8675600,8972490,9269370,9566260,9863140,10160000,10506200,10852300,11198500,11530580,11890784,27834
Cambodia,6693760,6749850,6919800,7170000,7447840,7714890,7960950,8198080,8435910,8691330,8975600,9289300,9623900,9970730,10317900,10656100,10982900,11298600,11600500,11886500,12155200,12405400,12637700,12856200,13066500,13273400,13477700,13680000,13883800,14093600,14312200,14541400,14780500,15026300,15274500,15521400,15766300,16009400,37178500,16486542,16718965,181035
Cameroon,8621410,8888530,9166810,9456500,9757850,10070800,10395500,10731100,11075400,11425800,11780100,12137900,12499500,12864100,13231000,13600000,13970800,14344400,14723800,15112600,15513900,15928900,16357600,16800900,17259300,17733400,18223700,18730300,19252700,19789900,20341200,20906400,21485300,22077300,22681800,23298400,23926600,24566100,37178500,25876380,26545863,475442
Canada,24470730,24784550,25082920,25335950,25576770,25813200,26067470,26397880,26751500,27214930,27632380,27987100,28324180,28651470,28960080,29263000,29569880,29867550,30123880,30367050,30647400,30971350,31308680,31603350,31901270,32204100,32529380,32848700,33199400,33581100,33958320,34298450,34664850,35034020,35392400,35678070,36052330,36492050,36993750,37411047,37742154,9984670
