Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Afghanistan,0.942,0.992,0.952,1,1.019,1.034,1.135,1.218,1.08,1.089,1.098,0.989,0.685,0.677,0.669,0.608,0.549,0.499,0.46,0.455,0.467,0.592,0.687,0.939,0.894,0.934,0.837,0.946,0.72801,0.9381,0.9363,0.8473,0.912,1.052,1.081,1.166,1.21,1.254,#N/A,#N/A,#N/A
Albania,3.635,3.673,3.692,3.71,3.737,3.783,3.814,4.236,3.93,4.081,3.141,3.641,3.31,3.441,3.858,4.359,5.857,5.125,5.01,5.337,4.683,3.648,3.641,5.218,5.543,5.385,5.038,2.828,3.759,5.201,7.6745,4.0918,4.7259,6.96,4.727,5.867,7.138,4.481,#N/A,#N/A,#N/A
Algeria,6.683,7.65,8.824,9.615,10.537,11.569,12.214,13.014,14.08,14.449,15.145,16.319,17.199,18.267,18.703,18.09,19.124,19.739,21.448,23.282,23.89,25.031,25.992,27.81,29.387,31.907,33.124,34.976,37.836,36.206,42.9981,48.278,54.177,56.506,60.599,64.786,66.862,71.483,#N/A,#N/A,#N/A
Angola,0.905,0.906,0.995,1.028,1.028,1.028,1.088,1.097,1.097,1.104,1.169,1.166,1.283,1.332,1.342,1.347,1.377,1.331,1.52,1.3,1.404,1.591,1.717,1.938,2.186,2.73,3.241,3.149,4.064,4.606,5.317,5.523,6.034,7.976,9.217,9.309,10.203,10.676,#N/A,#N/A,#N/A
Antarctica,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.002,0.002,0.002,0.002,0.004,0.004,0.004,0.001,0.001,0.001,0.001,0.001,#N/A,#N/A,#N/A,#N/A
Argentina,41.858,40.495,41.086,41.641,44.023,43.693,47.192,50.178,49.243,48.01,45.561,48.721,53.439,58.909,60.305,64.671,66.74,69.55,71.231,76.942,85.196,86.485,81.131,88.127,95.634,100.692,111.274,110.6431,114.5421,116.0151,119.2901,123.577,129.105,132.59,131.62,137.809,139.483,138.359,#N/A,#N/A,#N/A
Armenia,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,8.615,6.131,5.494,5.038,5.835,5.656,5.822,5.561,5.618,5.568,5.215,5.212,5.904,5.978,5.617,5.585,5.466,5.378,6.176,7.071,7.622,7.306,7.334,7.392,6.951,7.362,#N/A,#N/A,#N/A
Australia,87.393,92.911,96.736,98.048,103.716,110.425,116.272,121.915,130.92,139.221,146.187,148.367,150.759,154.646,158.368,163.841,168.068,173.354,185.41,191.63,197.95,211.522,214.623,213.541,222.987,215.489,219.83,229.391,229.45,234.698,238.725,239.981,237.283,236.117,234.635,238.137,242.912,244.543,250.487,#N/A,#N/A
Austria,40.574,41.233,41.458,41.191,40.97,43.033,43.295,38.842,47.491,48.426,47.73,49.507,49.492,50.088,50.71,53.733,52.019,54.272,54.62,57.615,57.92,58.937,58.404,55.505,59.307,61.303,59.453,60.173,61.974,63.597,63.144,57.632,63.841,60.0034,56.9144,57.2041,60.8991,62.4021,61.3541,#N/A,#N/A
Azerbaijan,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,18.58,18.074,16.609,16.1,16.14,15.912,17.015,17.162,17.654,17.896,18.472,20.131,20.482,20.095,22.32,20.654,20.456,17.85,17.76,19.21,21.7,22.035,23.32,23.3,23.567,22.961,23.82,#N/A,#N/A
Bangladesh,2.665,3.026,3.433,3.572,4.088,4.622,4.845,5.583,6.488,7.04,7.618,8.436,9.021,9.305,10.008,10.412,10.823,11.183,12.152,13.625,14.873,16.399,17.6,18.589,23.269,25.443,29.247,29.21,32.33,35.071,38.513,41.6658,45.738,50.049,52.574,55.549,64.846,68.84,#N/A,#N/A,#N/A
Belarus,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,35.34,31.368,29.514,23.424,22.305,24.495,21.991,24.829,24.537,23.561,24.869,25.031,29.339,29.107,29.91,29.927,32.904,28.482,32.81,30.277,28.962,29.633,32.667,32.056,31.576,32.487,36.395,#N/A,#N/A
Belgium,50.572,47.537,47.25,49.041,50.813,53.112,54.576,59.154,61.423,63.708,66.36,67.17,67.377,66.105,67.275,69.309,70.833,73.427,77.337,78.572,77.994,74.068,76.282,78.761,79.5,80.616,79.319,82.412,78.762,84.849,88.645,84.286,77.325,77.647,67.602,64.972,80.119,80.887,69.624,#N/A,#N/A
Belize,0.091,0.092,0.093,0.095,0.103,0.107,0.11,0.115,0.125,0.129,0.142,0.158,0.172,0.188,0.175,0.182,0.186,0.2,0.192,0.201,0.181,0.149,0.151,0.175,0.16,0.165,0.226,0.231,0.23,0.222,0.3499,0.347,0.318,0.348,0.365,0.381,0.395,0.409,#N/A,#N/A,#N/A
Benin,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.019,0.022,0.023,0.024,0.048,0.029,0.049,0.052,0.06,0.068,0.079,0.062,0.059,0.075,0.076,0.101,0.146,0.208,0.216,0.121,0.109,0.097,0.047,0.089,0.228,0.312,0.2601,0.311,#N/A,#N/A,#N/A
Bhutan,0.016,0.02,0.022,0.022,0.02,0.011,0.304,1.17,1.532,1.533,1.548,1.561,1.605,1.605,1.659,1.716,1.853,1.821,1.784,1.783,1.793,1.921,2.178,2.504,2.33,2.621,4.475,6.496,6.892,6.929,7.2565,6.9767,6.7467,7.5327,7.15071,7.73301,7.88101,7.65202,#N/A,#N/A,#N/A
Bolivia,1.568,1.655,1.658,1.667,1.519,1.512,1.518,1.532,1.881,1.996,2.122,2.315,2.308,2.379,2.705,2.879,3.096,3.319,3.532,3.747,3.775,3.851,4.046,4.175,4.363,4.694,5.08,5.512,5.599,5.903,6.486,6.912,7.325,7.719,8.171,8.711,8.951,9.499,#N/A,#N/A,#N/A
Bosnia and Herzegovina,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,6.304,3.245,4.162,4.32,7.157,8.471,9.282,10.191,10.058,10.259,10.401,10.815,12.263,12.146,12.803,11.277,14.177,15.04,16.498,14.583,13.449,16.767,15.488,15.004,17.022,15.689,#N/A,#N/A,#N/A
Botswana,0.443,0.502,0.489,0.434,0.445,0.456,0.538,0.846,0.8,0.797,0.852,0.879,1.088,1.027,1.044,1.047,0.759,0.87,1.026,1.043,0.89,0.949,0.842,0.681,0.74,0.815,0.746,0.578,0.552,0.417,0.5,0.449,0.329,0.869,2.175,2.79,2.527,2.841,#N/A,#N/A,#N/A
Brazil,138.302,140.153,150.027,160.452,178.097,190.671,199.241,200.45,211.78,218.294,219.953,231.439,238.84,249.251,256.896,272.198,287.656,304.275,317.819,329.689,342.573,323.168,340.297,358.896,381.182,395.721,411.925,437.1862,454.6772,458.6662,506.748,522.92,542.487,559.003,577.045,568.649,567.947,577.943,591.614,#N/A,#N/A
