Country,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Afghanistan,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.054006559,0.040344101,0.038848364,0.037585094,0.042890271,0.051497298,0.057053401,0.057140497,0.059645534,#N/A,#N/A,#N/A,#N/A
Albania,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.02111404,0.013768101,0.02076538,0.035109782,0.026147578,0.03049307,0.03302415,0.044722055,0.060265336,0.065823317,0.079262967,0.107769036,0.135492165,0.10879149,0.154995572,0.194820731,0.196791895,0.233152193,0.243072364,0.192965703,0.196211742,0.230231825,#N/A,#N/A,#N/A
Algeria,#N/A,#N/A,#N/A,#N/A,1.113680179,1.009766502,0.859380634,0.935668019,1.109922202,1.389412352,0.98385879,1.252527663,2.203128764,1.914761919,1.883240926,2.465365579,3.20767917,4.600173548,5.461272178,6.016316035,7.929759151,4.519392024,5.705097357,7.343630609,7.186574899,6.59981376,6.03876893,3.479595149,2.999210147,3.519111742,#N/A,#N/A,#N/A
Angola,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4.417778307,#N/A,4.063941173,5.261211476,6.642739022,7.086307641,6.771252655,5.867236919,3.392493748,2.805749952,3.490488111,#N/A,#N/A,#N/A
Antarctica,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00040013,0.000320093,0.00043445,0.0004239,0.000574809,#N/A,0.001223771,0.00091853,0.001147454,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Argentina,#N/A,#N/A,#N/A,#N/A,#N/A,1.311774515,1.583865139,2.096257434,2.380962816,2.643082035,2.643367117,2.333266008,2.634102919,2.661005534,2.570937111,2.9938752,3.457570552,4.010638609,4.654622408,5.577957984,7.001885081,5.56721186,6.817444658,8.298109128,7.998237958,7.596298136,6.840434662,5.67839525,5.787934624,5.838419497,#N/A,#N/A,#N/A
Armenia,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.021527355,#N/A,0.023166624,0.029410294,0.033583138,0.052720371,0.067047479,0.07229115,0.093697734,0.100396111,0.112122246,0.105501274,0.068398937,0.101142475,0.13065764,0.142812069,0.146779967,0.149019015,0.148266735,0.180778951,0.214496297,#N/A,#N/A,#N/A
Australia,3.220539405,3.576144236,3.8781276,4.078271965,4.2078851,4.1879201,4.725381004,5.300054549,6.020678451,6.281651716,5.580848039,5.453419603,6.376633425,6.328818861,6.498416727,7.02882354,8.648403775,10.60110507,12.33244727,14.11815124,18.68530136,15.3899576,21.21087263,26.94233855,25.6242913,25.21551053,24.04446839,18.77921515,18.96299746,23.01632072,#N/A,#N/A,#N/A
Austria,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4.50721833,5.758293197,5.783045734,5.671371981,6.0856832,5.927155466,6.367469906,6.649242385,7.311266477,8.925676736,11.08297574,11.77217122,13.41695313,15.65884066,17.22279518,13.1387248,14.4882002,16.95114325,15.88207193,16.62739103,16.97128595,14.52755303,14.47006902,15.99705308,#N/A,#N/A,#N/A
Azerbaijan,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.063124486,0.078130899,0.060614944,0.092922554,0.174525194,0.231428235,0.216750009,0.259171939,0.361544983,0.434715121,0.637216499,0.60583191,4.775622936,1.468872769,2.127841998,2.648018884,2.382718608,2.390410801,2.175173715,1.264629368,1.338081857,1.53060183,#N/A,#N/A,#N/A
Bangladesh,#N/A,0.132800768,0.155644045,0.169020685,0.194160717,0.225309363,#N/A,0.340724122,0.353850982,0.401745562,0.505691443,#N/A,0.549322643,0.538874714,0.541727253,0.640342562,0.826748202,0.933158336,1.16967005,1.314295293,1.550671918,1.5558634,1.923098256,2.431374424,2.451350083,2.453734101,#N/A,3.173416242,#N/A,#N/A,#N/A,#N/A,#N/A
Belarus,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.70697175,0.590892749,0.7331059,0.7450644,0.8020912,0.99455884,1.37516996,1.59772207,1.97385434,2.4275244,3.25707805,2.13041729,2.52834623,4.1418672,4.6059935,3.72030353,3.60805368,2.66603946,2.35373545,2.92399939,#N/A,#N/A,#N/A
Belgium,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,17.88668282,18.78389047,19.0309487,21.58030054,25.55536609,30.76904196,33.56917781,36.68354924,43.17438427,47.17978201,37.08791936,40.75959143,47.59575044,44.68544212,51.1505015,47.22012743,39.77391567,39.83060802,43.00924193,#N/A,#N/A,#N/A
Belize,#N/A,#N/A,#N/A,#N/A,0.013593858,0.012660471,0.014293038,0.016168016,0.016763725,0.017619066,0.016221754,0.014074338,0.02002151,0.018188897,0.01644847,0.020283613,0.021097166,0.020752015,0.027442934,0.026663357,0.029505782,0.02496599,0.028203953,0.039618478,0.040113962,0.041345389,0.035842902,0.031389519,0.024616263,0.027758496,#N/A,#N/A,#N/A
Benin,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.033287264,0.022562722,0.018979515,0.020416536,0.024171894,0.027152581,0.029831246,0.028819551,0.022459308,0.027438739,0.042106381,0.042534774,0.053390234,0.03885922,0.046033823,0.060201392,0.096832589,0.062557791,0.040975204,0.072626461,#N/A,#N/A,#N/A
Bhutan,#N/A,#N/A,#N/A,#N/A,#N/A,0.006582026,0.00663829,#N/A,#N/A,#N/A,0.010846297,0.011595005,#N/A,#N/A,#N/A,#N/A,#N/A,0.025836829,0.041388641,0.067452358,0.052141538,0.049584619,0.041348244,0.04529628,0.053122704,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Bolivia,#N/A,#N/A,#N/A,#N/A,0.076531379,0.08089376,0.112423053,0.118121203,0.108694336,0.127209766,0.132326938,0.140188345,0.145667407,0.135289307,0.137165141,0.165067507,0.225433227,0.279741674,0.422329783,0.48127022,0.6899336,0.529674009,0.705143316,0.921394007,1.199083224,1.23715159,1.303422024,0.892311538,0.72281677,0.833805738,#N/A,#N/A,#N/A
Bosnia and Herzegovina,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.140028431,0.1912379,0.238848319,0.342778157,0.415196535,0.502108267,0.395392014,0.480310853,0.585007871,0.5161809,0.568746347,0.58921022,0.509918576,0.532757834,0.636792227,#N/A,#N/A,#N/A
Botswana,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.277883229,0.253303721,0.274513054,0.380164608,0.351076198,0.443062757,0.450618189,0.507252319,0.495087749,0.345571229,0.46932381,0.588191818,0.597124509,0.757329869,0.791546818,0.631919097,0.732070583,0.589810275,#N/A,#N/A,#N/A
Brazil,#N/A,3.438143488,3.141125734,3.162112,3.597531546,3.870083891,4.355782656,4.650493133,4.774593331,5.298581094,5.111986995,4.801141061,5.511891395,5.828659279,6.043864988,7.320322185,9.667724637,11.85286881,13.78061903,16.06488697,19.79424429,15.29947428,20.19151033,25.60387021,24.25780135,24.20329792,22.50984052,19.11268858,18.52353991,21.77392185,#N/A,#N/A,#N/A
