Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Afghanistan,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,540065.594,403441.006,388483.635,375850.935,428902.71,514972.983,570534.007,571404.967,596455.337,#N/A,#N/A,#N/A,#N/A
Albania,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,211140.4,137681.008,207653.802,351097.824,261475.781,304930.699,330241.497,447220.546,602653.356,658233.171,792629.671,1077690.359,1354921.653,1087914.902,1549955.724,1948207.305,1967918.947,2331521.928,2430723.644,1929657.032,1962117.416,2302318.252,#N/A,#N/A,#N/A
Algeria,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,11136801.79,10097665.02,8593806.336,9356680.192,11099222.02,13894123.52,9838587.904,12525276.63,22031287.64,19147619.19,18832409.26,24653655.79,32076791.7,46001735.48,54612721.78,60163160.35,79297591.51,45193920.24,57050973.57,73436306.09,71865748.99,65998137.6,60387689.3,34795951.49,29992101.47,35191117.42,#N/A,#N/A,#N/A
Angola,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,44177783.07,#N/A,40639411.73,52612114.76,66427390.22,70863076.41,67712526.55,58672369.19,33924937.48,28057499.52,34904881.11,#N/A,#N/A,#N/A
Antarctica,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4001.297,3200.931,4344.499,4238.995,5748.088,#N/A,12237.708,9185.3,11474.54,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Argentina,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,13117745.15,15838651.39,20962574.34,23809628.16,26430820.35,26433671.17,23332660.08,26341029.19,26610055.34,25709371.11,29938752,34575705.52,40106386.09,46546224.08,55779579.84,70018850.81,55672118.6,68174446.58,82981091.28,79982379.58,75962981.36,68404346.62,56783952.5,57879346.24,58384194.97,#N/A,#N/A,#N/A
Armenia,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,215273.552,#N/A,231666.237,294102.939,335831.375,527203.711,670474.788,722911.5,936977.335,1003961.105,1121222.464,1055012.744,683989.374,1011424.747,1306576.403,1428120.692,1467799.672,1490190.146,1482667.349,1807789.51,2144962.97,#N/A,#N/A,#N/A
Australia,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,32205394.05,35761442.36,38781276,40782719.65,42078851,41879201,47253810.04,53000545.49,60206784.51,62816517.16,55808480.39,54534196.03,63766334.25,63288188.61,64984167.27,70288235.4,86484037.75,106011050.7,123324472.7,141181512.4,186853013.6,153899576,212108726.3,269423385.5,256242913,252155105.3,240444683.9,187792151.5,189629974.6,230163207.2,#N/A,#N/A,#N/A
Austria,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,45072183.3,57582931.97,57830457.34,56713719.81,60856832,59271554.66,63674699.06,66492423.85,73112664.77,89256767.36,110829757.4,117721712.2,134169531.3,156588406.6,172227951.8,131387248,144882002,169511432.5,158820719.3,166273910.3,169712859.5,145275530.3,144700690.2,159970530.8,#N/A,#N/A,#N/A
Azerbaijan,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,631244.864,781308.992,606149.44,929225.537,1745251.936,2314282.345,2167500.086,2591719.389,3615449.827,4347151.207,6372164.992,6058319.1,47756229.36,14688727.69,21278419.98,26480188.84,23827186.08,23904108.01,21751737.15,12646293.68,13380818.57,15306018.3,#N/A,#N/A,#N/A
