Country,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Afghanistan,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.301986013,0.333643478,0.515424987,0.639031095,0.62049841,0.855441375,0.769717817,0.772286505,0.653414041,#N/A,#N/A,#N/A,#N/A
Albania,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.093848179,0.06290263,0.084125618,0.115435117,0.108946788,0.133063107,0.150368521,0.186432886,0.230016834,0.261434701,0.305740843,0.420086405,0.525049002,0.454828788,0.460277497,0.539585307,0.487982965,0.488059325,0.522997224,0.432021937,0.466928991,0.52821174,#N/A,#N/A,#N/A
Algeria,#N/A,#N/A,#N/A,#N/A,0.864781619,0.878527488,0.959867392,1.078243226,0.910559539,0.868835635,0.940343091,0.916184537,0.915207723,0.99457194,1.200977469,1.354542953,1.830302334,2.035687969,2.145585455,2.763120395,3.947472157,3.925832694,4.099989112,4.721973032,5.036939059,5.490997327,5.861808019,5.180307109,4.709068359,4.605301599,#N/A,#N/A,#N/A
Angola,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.109484341,#N/A,2.391885436,1.814326891,2.079099604,2.872298406,2.675606299,2.875349933,2.154925653,1.43477105,1.546231348,#N/A,#N/A,#N/A
Antarctica,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.009451417,0.007770466,0.006989342,0.007677665,0.010243855,#N/A,0.017489906,0.024790478,0.02717444,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Argentina,#N/A,#N/A,#N/A,#N/A,#N/A,1.677290803,2.158105395,2.012164096,2.376155546,3.034940211,3.137724621,2.550794403,2.528046349,2.03211271,0.8989546,1.3850774,2.244524658,2.868863765,3.415354176,4.470704181,5.746177437,3.878616179,5.679237821,7.39606561,6.797397189,7.444174528,6.573598776,6.02028435,5.591081044,6.689929959,#N/A,#N/A,#N/A
Armenia,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.075443968,#N/A,0.081084649,0.084030743,0.083746756,0.096293098,0.123658358,0.134976191,0.169154209,0.219435817,0.305256555,0.410121701,0.317463123,0.378176741,0.397993478,0.426689565,0.425621785,0.415951745,0.325696479,0.321845771,0.38934549,#N/A,#N/A,#N/A
Australia,3.302574013,3.983962498,3.863276985,3.845637734,4.0598173,4.236660246,4.991803576,5.742279912,6.140005406,6.183338814,6.077421564,6.519835722,7.155512564,6.431997735,7.302589696,8.906510156,10.94827152,12.52212453,13.9354165,16.54715253,20.06172745,16.56011364,20.17033337,23.42058232,25.04647944,23.24812713,22.75442313,20.011378,18.94060279,22.84417369,#N/A,#N/A,#N/A
Austria,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5.529041306,6.640567091,6.728375091,6.363099546,6.709817754,6.600347339,6.837391191,7.049157106,7.279619596,9.159535783,11.12611472,11.9950092,13.43563144,15.60556527,17.50257541,13.64184292,15.05926641,18.2349824,16.96572763,17.33660377,17.24466384,14.79276533,14.99873861,16.6475081,#N/A,#N/A,#N/A
Azerbaijan,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.096060326,0.079433792,0.107648922,0.103565232,0.117203821,0.143087745,0.166556422,0.262642737,0.351586106,0.421120731,0.526674371,0.571217829,0.71618475,0.61190602,0.659679677,0.973286905,0.964172377,1.076339151,0.917858818,0.921428138,0.847249992,0.876779911,#N/A,#N/A,#N/A
