Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Afghanistan,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3019860.13,3336434.78,5154249.87,6390310.95,6204984.10,8554413.75,7697178.17,7722865.05,6534140.41,#N/A,#N/A,#N/A,#N/A
Albania,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,938481.79,629026.30,841256.18,1154351.17,1089467.88,1330631.07,1503685.21,1864328.86,2300168.34,2614347.01,3057408.43,4200864.05,5250490.02,4548287.88,4602774.97,5395853.07,4879829.65,4880593.25,5229972.24,4320219.37,4669289.91,5282117.40,#N/A,#N/A,#N/A
Algeria,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,8647816.19,8785274.88,9598673.92,10782432.26,9105595.39,8688356.35,9403430.91,9161845.37,9152077.23,9945719.40,12009774.69,13545429.53,18303023.34,20356879.69,21455854.55,27631203.95,39474721.57,39258326.94,40999891.12,47219730.32,50369390.59,54909973.27,58618080.19,51803071.09,47090683.59,46053015.99,#N/A,#N/A,#N/A
Angola,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,11094843.41,#N/A,23918854.36,18143268.91,20790996.04,28722984.06,26756062.99,28753499.33,21549256.53,14347710.50,15462313.48,#N/A,#N/A,#N/A
Antarctica,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,94514.17,77704.66,69893.42,76776.65,102438.55,#N/A,174899.06,247904.78,271744.40,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Argentina,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,16772908.03,21581053.95,20121640.96,23761555.46,30349402.11,31377246.21,25507944.03,25280463.49,20321127.10,8989546.00,13850774.00,22445246.58,28688637.65,34153541.76,44707041.81,57461774.37,38786161.79,56792378.21,73960656.10,67973971.89,74441745.28,65735987.76,60202843.50,55910810.44,66899299.59,#N/A,#N/A,#N/A
Armenia,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,754439.68,#N/A,810846.49,840307.43,837467.56,962930.98,1236583.58,1349761.91,1691542.09,2194358.17,3052565.55,4101217.01,3174631.23,3781767.41,3979934.78,4266895.65,4256217.85,4159517.45,3256964.79,3218457.71,3893454.90,#N/A,#N/A,#N/A
Australia,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,33025740.13,39839624.98,38632769.85,38456377.34,40598173.00,42366602.46,49918035.76,57422799.12,61400054.06,61833388.14,60774215.64,65198357.22,71555125.64,64319977.35,73025896.96,89065101.56,109482715.20,125221245.30,139354165.00,165471525.30,200617274.50,165601136.40,201703333.70,234205823.20,250464794.40,232481271.30,227544231.30,200113780.00,189406027.90,228441736.90,#N/A,#N/A,#N/A
Austria,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,55290413.06,66405670.91,67283750.91,63630995.46,67098177.54,66003473.39,68373911.91,70491571.06,72796195.96,91595357.83,111261147.20,119950092.00,134356314.40,156055652.70,175025754.10,136418429.20,150592664.10,182349824.00,169657276.30,173366037.70,172446638.40,147927653.30,149987386.10,166475081.00,#N/A,#N/A,#N/A
Azerbaijan,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,960603.26,794337.92,1076489.22,1035652.32,1172038.21,1430877.45,1665564.22,2626427.37,3515861.06,4211207.31,5266743.71,5712178.29,7161847.50,6119060.20,6596796.77,9732869.05,9641723.77,10763391.51,9178588.18,9214281.38,8472499.92,8767799.11,#N/A,#N/A,#N/A
