Country,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Afghanistan,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Albania,#N/A,0.44,0.44,0.64,0.75,0.55,0.55,0.55,0.54,0.44,0.47,0.3,0.19,0.1,0.11,0.11,0.099,0.096,0.09265753,0.064,0.05575342,0.05660099,0.05994039,0.06322339,0.06722138,0.06698838,0.06985,0.07814466,0.06501178,0.06036,0.05390767,0.10870836,0.15573068,0.16847066,0.17016219,0.20586849,0.20230644,0.22817634,0.16069,0.15655301,#N/A,#N/A
Algeria,#N/A,11.43,10.52,10.46,10.18,11.15,11.42,11.9,12,11.74,12.34,13.15,13.09,13.41,13.12,12.956,13.06794521,13.76044809,14.17239726,14.02410959,13.8860137,14.33025287,15.13892645,16.17653051,17.84043024,18.44525034,19.56778068,19.67493493,19.6754526,19.54459,19.09814712,18.81051,18.6269,18.75227169,17.63081822,17.22342,17.98425,16.98785656,16.41742808,15.77082534,#N/A,#N/A
Angola,#N/A,1.5,1.3,1.22,1.77,2.08,2.31,2.81,3.59,4.51,4.54,4.74,4.99,5.26,5.08,5.3579726,6.45432877,7.08184153,7.13208219,7.34582192,7.44517808,7.46113113,7.41904121,8.96143007,9.02304722,10.54415032,12.49228808,14.19916863,17.4750483,19.60206508,18.86295219,19.17992548,17.65027438,17.9647018,18.14026534,17.55755438,18.27922014,17.96742754,17.06434849,16.55169096,#N/A,#N/A
Antarctica,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Argentina,#N/A,5.08,5.13,5.07,5.04,4.98,4.85,4.71,4.72,4.92,4.96,5.21,5.29,5.97,6.47,7.13109589,7.73575343,8.20983607,9.04671233,9.16684932,8.70232877,8.31745362,8.76072879,8.65589395,8.65759034,8.25082166,7.97085753,8.0228491,7.8122517,8.01042227,8.01657466,7.8887369,7.63104482,7.22697036,7.06126962,7.16351406,7.08683247,7.08770148,6.76228041,6.78559548,#N/A,#N/A
Armenia,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2.47187E-06,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Australia,#N/A,4.6,4.74,4.44,4.89,5.71,6.65,6.06,6.39,6.33,5.83,6.66,6.35,6.19,5.9,6.24309589,6.46794521,6.66748634,6.94561644,6.48706849,6.46950685,8.28058254,7.68257129,7.4424488,6.29812981,5.57344189,5.80793932,5.61772562,5.67355918,5.70912612,5.80746534,5.90225206,5.14658932,5.07088814,4.32764836,4.48156343,4.02346822,3.73728372,3.4176189,3.7077689,#N/A,#N/A
Austria,#N/A,0.3,0.28,0.29,0.28,0.27,0.25,0.25,0.24,0.27,0.27,0.27,0.3,0.27,0.26,0.26,0.2770411,0.26697268,0.24,0.2570411,0.232,0.24746918,0.25285333,0.26893875,0.25908538,0.26461888,0.24920438,0.26617425,0.27682808,0.27925902,0.28192,0.36275918,0.36972534,0.37009536,0.27979904,0.31903863,0.3301389,0.29415202,0.29245534,0.28223616,#N/A,#N/A
Azerbaijan,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2.22,2.06,1.91109589,1.80557534,1.80380874,1.79975343,2.36773973,2.83578082,2.8858721,3.08862338,3.15418446,3.25174763,3.17634032,4.40005603,6.46580548,8.49069047,8.78192724,10.15945263,10.4484437,9.93260521,9.31756003,8.8082497,8.56875899,8.581772,8.43546251,8.00681973,8.08481973,#N/A,#N/A
