Country,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Afghanistan,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Albania,#N/A,44,44,64,75,55,55,55,54,44,47,30,19,10,11,11,9.9,9.6,9.265753425,6.4,5.575342466,5.660099306,5.99403869,6.322339394,6.722138204,6.698837564,6.985,7.814465753,6.501178082,6.036,5.390767123,10.87083562,15.57306849,16.84706557,17.01621918,20.58684932,20.23064384,22.81763388,16.069,15.65530137,#N/A,#N/A
Algeria,#N/A,1143,1052,1046,1018,1115,1142,1190,1200,1174,1234,1315,1309,1341,1312,1295.6,1306.794521,1376.044809,1417.239726,1402.410959,1388.60137,1433.025287,1513.892645,1617.653051,1784.043024,1844.525034,1956.778068,1967.493493,1967.54526,1954.459,1909.814712,1881.051,1862.69,1875.227169,1763.081822,1722.342,1798.425,1698.785656,1641.742808,1577.082534,#N/A,#N/A
Angola,#N/A,150,130,122,177,208,231,281,359,451,454,474,499,526,508,535.7972603,645.4328767,708.184153,713.2082192,734.5821918,744.5178082,746.1131126,741.9041209,896.1430065,902.3047217,1054.415032,1249.228808,1419.916863,1747.50483,1960.206508,1886.295219,1917.992548,1765.027438,1796.47018,1814.026534,1755.755438,1827.922014,1796.742754,1706.434849,1655.169096,#N/A,#N/A
Antarctica,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Argentina,#N/A,508,513,507,504,498,485,471,472,492,496,521,529,597,647,713.109589,773.5753425,820.9836066,904.6712329,916.6849315,870.2328767,831.745362,876.0728794,865.5893954,865.7590335,825.0821664,797.0857534,802.2849096,781.2251699,801.0422268,801.6574658,788.8736904,763.1044822,722.6970355,706.1269616,716.3514055,708.6832466,708.7701475,676.2280411,678.5595479,#N/A,#N/A
Armenia,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.000247187,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Australia,#N/A,460,474,444,489,571,665,606,639,633,583,666,635,619,590,624.309589,646.7945205,666.7486339,694.5616438,648.7068493,646.9506849,828.0582541,768.2571288,744.2448795,629.8129808,557.3441888,580.7939315,561.7725616,567.3559178,570.912612,580.7465342,590.2252055,514.6589315,507.0888142,432.7648356,448.1563425,402.3468219,373.7283716,341.7618904,370.7768904,#N/A,#N/A
Austria,#N/A,30,28,29,28,27,25,25,24,27,27,27,30,27,26,26,27.70410959,26.69726776,24,25.70410959,23.2,24.74691803,25.28533288,26.89387534,25.90853836,26.46188798,24.92043836,26.61742466,27.68280822,27.92590164,28.192,36.27591781,36.97253425,37.00953552,27.97990411,31.90386301,33.01389041,29.41520219,29.24553425,28.22361644,#N/A,#N/A
Azerbaijan,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,222,206,191.109589,180.5575342,180.3808743,179.9753425,236.7739726,283.5780822,288.5872103,308.8623379,315.4184464,325.1747628,317.6340321,440.0056027,646.5805479,849.0690466,878.192724,1015.945263,1044.84437,993.2605205,931.7560027,880.8249699,856.8758986,858.1772,843.5462514,800.6819726,808.4819726,#N/A,#N/A
Bangladesh,#N/A,#N/A,#N/A,#N/A,0.2,0.4,0.7,0.7,0.6,0.8,0.7,1,0.9,1,1.2,1.6,1.3,1.5,2.2,2.2,2,3.211034029,4.101493374,6.824691791,6.912831129,6.745815164,6.76,6.733,6.724,6.408666667,5.684,5.072,5.063,4.848666667,4.156,4.127,4.105,4.105,3.770753425,3.105,#N/A,#N/A
Belarus,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,42,35,36.35068493,34.18082192,32.86120219,33.54246575,33.91643836,33.8890411,34.6879136,35.37199905,33.46922106,34.33128574,35.03104171,35.155,35.602,36.011,35.296,32.063,32.113,30.739,30.124,31.307,33.193,26.00193151,32.58366667,31.917,32.917,#N/A,#N/A
Belgium,#N/A,8,8,9,10,11,11,6.1,5.6,8.2,11,11,9.1,10,9.8,13,12,11,11,11,12,10.21811749,12.3046,13.06085205,11.06034795,10.68759016,8.691,11.914,11.224,11.218,12.603,23.04,21.982,22.474,23.892,28.595,25.458,24.423,28.785,28.785,#N/A,#N/A
Belize,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2.257309589,2.99979726,3.510663934,3.98950137,4.251682192,4,3.239344262,3,1.817761644,2,2,2,2,#N/A,#N/A
Benin,#N/A,#N/A,#N/A,#N/A,4,7,8,8,7,5,4,4,4,5.6,5.8,5.9,3,2,1.3,1,1,0.69,0.7,0.8,0.4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Bhutan,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Bolivia,#N/A,32,26,30,28,27,26,23,24,24,25,26,26,28,30,31.8,35.59178082,37.86393443,38.13835616,44.7,41.5,40.43514866,44.85325283,47.22013419,42.920153,61.33812681,62.66446301,61.31666301,61.82528219,51.55711749,45.95970137,47.87294247,49.25431233,57.59436612,65.20117808,69.00166027,74.06947397,77.63486885,77.46590411,77.6330274,#N/A,#N/A
Bosnia and Herzegovina,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.073,-0.059,-0.097,-0.094,-0.015,0.07,0.131,0.258,0.219,0.248,0.248,0.248,0.248,#N/A,#N/A
Botswana,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Brazil,#N/A,245,283,348,460,614,734,740,768,751,790,821,838,824,839,957.4246575,990.4246575,1107.002732,1172.19726,1282.627397,1427.772603,1534.106897,1573.485514,1757.892245,1846.898841,1839.483428,2037.522014,2169.463605,2283.504808,2431.46891,2561.713447,2723.742008,2699.133756,2669.12232,2713.472299,2970.678033,3186.486364,3242.957836,3366.45211,3427.783616,#N/A,#N/A
Brunei,#N/A,270,188,179,187,175,168,181,150,148,142,160,171,178,178,180.6356164,175.8438356,166.6961749,175.3410959,179.5876712,204.2232877,215.3677556,217.5836607,189.4065961,196.3677523,204.4311477,209.9594521,221.2447808,169.9666301,157.7643388,148.8572192,153.3279315,169.3770411,158.7310383,135.4898493,126.807411,127.0038767,121.034388,113.3134658,111.6230548,#N/A,#N/A
Bulgaria,#N/A,3,3,3,3,4,6,-0.2,0.097892685,-1.5,4.7,3.5,0.03394317,0.4,0.6,0.3,1,1.6,0.9,2.2,2.6,1.962067956,1.16242705,2.648132431,3.128062775,3.661262372,3.357,3.378,3.125,3.517,3.341,3.359,3.367,3.799,4.095,3.237191781,5.076,5.339,5.339,5.339,#N/A,#N/A
Burkina Faso,#N/A,3,3,3,3,4,6,-0.2,0.097892685,-1.5,4.7,3.5,0.03394317,0.4,0.6,0.3,1,1.6,0.9,2.2,2.6,1.962067956,1.16242705,2.648132431,3.128062775,3.661262372,3.357,3.378,3.125,3.517,3.341,3.359,3.367,3.799,4.095,3.237191781,5.076,5.339,5.339,5.339,#N/A,#N/A
Burundi,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Cambodia,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.6,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Cameroon,#N/A,58,87,109,114,135,185,177,174,163,170,161,153,140,127,108.3452055,111.4,108.4163934,124.5,121.5,100.5,85.05965452,76.89132534,69.90075615,67.2181535,66.34701176,82.70906849,86.80773973,83.15639726,81.78013661,77.42010959,65.54,62.22727397,63.452,63.07016438,75.441,98.469,92.469,76.18680822,69.469,#N/A,#N/A
Canada,#N/A,1816,1663,1639,1692,1810,1848,1863,1960,2057,2031,2040,2041,2126,2250,2341.290411,2452.794521,2501.576503,2627.471233,2700.049315,2632.557534,2753.144555,2816.361848,2953.699681,3113.64521,3139.357788,3096.284614,3292.078077,3448.523233,3348.246697,3318.829118,3441.730274,3596.913671,3855.923536,4073.071288,4394.26537,4511.270562,4596.72482,4964.133521,5382.33626,#N/A,#N/A
Central African Republic,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Chad,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,36.06849315,170.5874317,176.6575342,157.9178082,144.2027397,127.1639344,119.4712329,122.5205479,114.9643836,104.4836066,100,121,123,114,128,132,#N/A,#N/A
Chile,#N/A,46,52,54,50,50,48,44,43,38,36,35,32,29,30,29.1109589,26.77808219,25.7,18.86684932,18.40410959,18.0309589,16.3618895,17.17185788,17.14158417,16.93328619,15.75985106,14.92857534,12.89183836,10.87226301,12.79107923,13.50187671,18.5760411,19.23376712,18.43637158,17.15935616,15.61646575,14.21527397,12.85849727,13.45783562,16.214,#N/A,#N/A
China,#N/A,2114,2012,2045,2120,2296,2505,2588,2680,2722,2749,2768,2836,2852,2903,2957.287671,3060.049315,3211.338798,3284.342466,3302.178082,3316.994521,3388.527319,3444.634864,3549.861536,3602.905986,3722.752498,3871.015918,3980.215068,4079.011233,4166.931967,4218.44863,4575.155274,4660.013616,4773.203475,4911.730712,5045.262795,5180.376151,4900.070874,4782.398219,4774.99274,#N/A,#N/A
Colombia,#N/A,134,133,149,158,174,182,315,396,387,417,454,430,445,467,462.3342466,597.1986301,642.0644809,665.2589041,745.9383562,830.4246575,704.1159979,636.8241535,588.276088,554.6762955,541.9564408,540.6865644,548.3515534,546.1084959,603.6740109,690.2765562,805.7534877,938.4120685,968.4676503,1028.200507,1013.907047,1029.954041,909.0368197,884.5163425,893.5985342,#N/A,#N/A
Costa Rica,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.2,-0.1,-0.1,-0.2,-0.2,-0.2,-0.2,-0.3,-0.1,-0.3,-0.3,-0.3,#N/A,#N/A,-0.000125612,0.07137655,0.477792393,0.729212069,1.022570716,1.877,1.856,2.637,2.308,1.226,-0.109,-0.04,1.259,1.324,1.331,1.479,1.571,1.571,1.571,#N/A,#N/A
Croatia,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,41,43,47.3,41.7,37.9,38.2,40.2,33.4,33.41746741,32.40940407,31.22240889,31.330155,28.77785644,27.69053425,25.62868493,23.8356137,22.09866667,24.44482192,23.60656164,21.35205479,20.68533333,20.62526027,20.04963014,18.68517808,18.52796721,18.926,18.84106849,#N/A,#N/A
Cuba,#N/A,6,9,11,13,16,19,17,17,13,13,12,12,16,19,24.1,25.76712329,31.2,32.9,34.3,40.8,43.87799094,51.46237994,48.54399415,56.2755183,59.21310021,53.455,52.25,51.634,50.699,46.342,56.489,58.401,55.29450273,53.526,53.169,50.335,49.73733333,49.904,49.904,#N/A,#N/A
Cyprus,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.019478958,-0.014733574,-0.011273702,0.022656951,0.046594227,-0.034491628,-0.1,-0.2,-0.1,-0.2,#N/A,-0.3,-0.3,-0.4,-0.364030345,-0.35683596,-0.258762478,-0.191359224,-0.072853045,0.02,0.02,0.02,0.2,0.2,0.11,0.13,0.13,0.04,0.03,0.02,0.01,#N/A,#N/A,#N/A,#N/A
Czech Republic,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2.5,2.8,3.9,5.3,4.6,4.6,9.560273973,9.36242623,9.245460274,12.47534795,15.34588767,17.16675683,17.54406849,16.08936986,13.74369863,11.62656831,10.39010959,15.76478082,16.27893151,16.75,14.43,17.815,18.05161644,15.58633333,19.765,19.765,#N/A,#N/A
Democratic Republic of the Congo,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2.5,2.8,3.9,5.3,4.6,4.6,9.560273973,9.36242623,9.245460274,12.47534795,15.34588767,17.16675683,17.54406849,16.08936986,13.74369863,11.62656831,10.39010959,15.76478082,16.27893151,16.75,14.43,17.815,18.05161644,15.58633333,19.765,19.765,#N/A,#N/A
Denmark,#N/A,5.3,15,34,44,46,58,76,97,99,117,121,144,163,174,185.5780822,187.2767123,210.0234973,233.2821918,240.6534247,302.5808219,365.1792705,348.9895836,373.4323589,378.4092247,392.7448962,380.7835699,345.7568137,315.2797123,290.467888,264.3076849,249.2904301,225.0753452,205.9141831,180.1261671,169.6287123,160.7615753,145.673612,142.4461507,123.5502603,#N/A,#N/A
