Country,Import,Export
Afghanistan,14813180.65,596455.337
Albania,5941286.949,2302318.252
Algeria,46053015.99,35191117.42
Andorra,1609394.249,117965.6118
Angola,16353060.72,34904881.11
Anguilla,271744.4,11474.54
Antigua and Barbuda,569155.191,62390.60271
Argentina,65440966.17,58384194.97
Armenia,4849934.597,2144962.97
Aruba,1257869.571,89079.34682
Australia,235519140.9,230163207.2
Austria,184195200.6,159970530.8
Azerbaijan,11459395.44,15306018.3
The Bahamas,3161314.272,442781.375
Bahrain,20597535.92,12485359.23
Bangladesh,48058710.04,31734162.42
Barbados,1599911.169,485387.9475
Belarus,38408911.9,29239993.9
Belgium,454713800.9,430092419.3
Belgium-Luxembourg,166721634.3,178615435.3
Belize,957739.411,277584.9601
Benin,3278030.278,726264.6087
Bermuda,1070009.015,11742.16567
Bhutan,991702.621,531227.039
Bolivia,10044646.99,8338057.379
Bosnia and Herzegovina,11629555.03,6367922.272
Botswana,6168953.943,5898102.75
Brazil,181230498.4,217739218.5
Brunei,4164052.431,5570575.214
Bulgaria,37927842.26,31588418.28
Burkina Faso,4295841.213,2790162.436
Burundi,793512.2395,149406.4375
Cambodia,12371008.44,10069331.58
Cameroon,10368581.74,6527310.838
Canada,459866293.9,420631850.4
Cape Verde,814604.2968,49935.30254
Cayman Islands,915454.381,0
Central African Republic,418721.3394,196990.9372
Chad,215168.272,0
Chile,74187323.28,68858401.6
China,2134982615,2263370504
Colombia,51230566.65,37766321.06
Comoros,115238.031,10134.246
Republic of the Congo,4553448.297,8148014.308
Cook Islands,109316.111,3124.692
Costa Rica,16563019.26,11296640.43
Ivory Coast,10970725.43,12559859.5
Croatia,28113089.2,15732485.22
Cuba,10173591.46,2980151.743
Cyprus,10812572.22,3360377.37
Czech Republic,184924023.4,182231360.5
Denmark,101675698.5,101434430.9
Djibouti,647615.351,363708.835
Dominica,211867.612,37013.221
Dominican Republic,19524253.47,8855644.902
East Timor,588047.3024,24174.26276
Ecuador,23019652.62,19122455.1
Egypt,80992321.74,25943200.38
El Salvador,11829783.4,5760015.207
Eritrea,432846.623,6618.76
Estonia,19839355.11,15387735.46
Ethiopia,19120743.25,1723892.053
European Union,2335303243,2120912084
Faeroe Islands,783439.826,761743.826
Fiji,2719590.986,955613.4956
Finland,78352161.41,67280640.85
South Sudan,9546265.054,8981722.935
France,659374522.3,523385133.3
French Guiana,783246.976,158168.032
French Polynesia,1526806.046,130193.767
Gabon,2500862.251,5355977.813
Gambia,601352.2161,21834.6553
Georgia,9136731.378,2735770.601
Germany,1292726052,1446642435
Ghana,11880470.76,14358509.95
Greece,65141447.59,32154816.41
Greenland,829150.1952,595837.1902
Grenada,281828.217,30538.19
Guadeloupe,1901305.728,161973.776
Guatemala,18377914.38,11011391.4
Guinea,2138647.793,1573675.202
Guinea Bissau,111684.811,23244.874
Guyana,3997940.041,1789689.908
Honduras,8612241.192,4970144.396
"Hong Kong, China",627327030.8,549861455.2
Hungary,117381592.7,113382077.4
Iceland,7686033.358,4882605.885
India,617945603.1,294364490.2
Indonesia,188711171.6,168810042.9
Iran,51612276.87,105844085.7
Iraq,37064476.5,84506036.57
Ireland,106931073.3,138072213.3
Israel,76584110,61150141
Italy,503581133.9,507430236.3
Jamaica,5818098.181,1309718.443
Japan,748217608.2,698097188.9
Jordan,20309900.97,7469238.451
