Country,CO2 (2012)
Afghanistan,10755.311
Angola,33399.036
Albania,4910.113
United Arab Emirates,176386.367
Argentina,192356.152
Armenia,5694.851
Antarctica,#N/A
French Southern and Antarctic Lands,#N/A
Australia,388126.281
Austria,62272.994
Azerbaijan,35555.232
Burundi,282.359
Belgium,95107.312
Benin,5471.164
Burkina Faso,2629.239
Bangladesh,67505.803
Bulgaria,44708.064
The Bahamas,1969.179
Bosnia and Herzegovina,22258.69
Belarus,63222.747
Belize,476.71
Bolivia,18793.375
Brazil,470028.726
Brunei,9666.212
Bhutan,817.741
Botswana,4231.718
Central African Republic,293.36
Canada,517457.704
Switzerland,37773.767
Chile,80974.694
China,10028573.94
Ivory Coast,9295.845
Cameroon,6127.557
Democratic Republic of the Congo,2401.885
Republic of the Congo,2970.27
Colombia,79951.601
Costa Rica,7766.706
Cuba,36156.62
Northern Cyprus,#N/A
Cyprus,6919.629
Czech Republic,101029.517
Germany,739861.254
Djibouti,517.047
Denmark,36427.978
Dominican Republic,22123.011
Algeria,129987.816
Ecuador,38140.467
Egypt,217068.065
Eritrea,660.06
Spain,264779.402
Estonia,17623.602
Ethiopia,8562.445
Finland,49134.133
Fiji,1059.763
Falkland Islands,#N/A
France,333227.624
French Guiana,#N/A
Gabon,5104.464
United Kingdom,468572.927
Georgia,8441.434
Ghana,11877.413
Guinea,2581.568
Gambia,454.708
Guinea Bissau,253.023
Equatorial Guinea,5115.465
Greece,80043.276
Greenland,568.385
Guatemala,11972.755
Guyana,1994.848
Honduras,8984.15
Croatia,17993.969
Haiti,2313.877
Hungary,44583.386
Indonesia,637078.911
India,2018503.817
Ireland,35591.902
Iran,611758.276
Iraq,152723.216
Iceland,1800.497
Israel,75529.199
Italy,369468.585
Jamaica,7462.345
Jordan,24444.222
Japan,1230168.49
Kazakhstan,242971.753
Kenya,12515.471
Kyrgyzstan,#N/A
Cambodia,5456.496
South Korea,583966.083
Kosovo,#N/A
Kuwait,102334.969
Laos,1697.821
Lebanon,22632.724
Liberia,1026.76
Libya,52683.789
Sri Lanka,16032.124
Lesotho,2405.552
Lithuania,13831.924
Luxembourg,10663.636
Latvia,7062.642
Morocco,62731.369
Moldova,4924.781
Madagascar,2706.246
Mexico,496324.783
Macedonia,8965.815
Mali,993.757
Myanmar,11070.673
Montenegro,2335.879
Mongolia,26226.384
Mozambique,3120.617
Mauritania,2654.908
Malawi,1096.433
Malaysia,218707.214
Namibia,3384.641
New Caledonia,3630.33
Niger,1866.503
Nigeria,98502.954
Nicaragua,4620.42
Netherlands,170310.148
Norway,49889.535
Nepal,5856.199
New Zealand,34150.771
Oman,59159.711
Pakistan,163496.862
Panama,10113.586
Peru,55071.006
Philippines,91205.624
Papua New Guinea,5078.795
Poland,299931.264
Puerto Rico,#N/A
North Korea,49057.126
Portugal,46013.516
Paraguay,5284.147
Qatar,94124.556
Romania,81722.762
Russia,1830830.424
Rwanda,737.067
Western Sahara,#N/A
Saudi Arabia,564842.678
Sudan,14642.331
South Sudan,1331.121
Senegal,7913.386
Solomon Islands,198.018
Sierra Leone,1030.427
El Salvador,6662.939
Somaliland,#N/A
Somalia,608.722
Republic of Serbia,44062.672
Suriname,2258.872
Slovakia,32764.645
Slovenia,14781.677
Sweden,47047.61
Swaziland,#N/A
Syria,44730.066
Chad,612.389
Togo,2486.226
Thailand,296597.961
Tajikistan,2933.6
Turkmenistan,64872.897
East Timor,293.36
Trinidad and Tobago,45419.462
Tunisia,27003.788
Turkey,329560.624
Taiwan,#N/A
United Republic of Tanzania,9545.201
Uganda,4070.37
Ukraine,295791.221
Uruguay,8694.457
United States of America,5119436.361
Uzbekistan,115814.861
Venezuela,198766.068
Vietnam,142220.928
Vanuatu,113.677
West Bank,2200.2
Yemen,18668.697
South Africa,468770.945
Zambia,3667
Zimbabwe,7792.375
