Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Afghanistan,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,10202,10201.5,9170.59,9403.54,9987.93,10476.6,10535.6,10455.9,10380.1,10176.2,10376.6,10304.8,10259.8,9858.04,9054.65,8308.71,7415.09,7485.19,7920.27,7465.04,7627.58,7702.08,7385.53,7474.89,7666.93,7885.84,8611.68,9213.6,9700.17,10305.9,9384.18,8666.5,9929.43,10350.6,10521.4,10698.7,10869.9,11049.7,11224.4,11497.3,13493.3,13628.233,13763.166,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Angola,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,23376.6,14500,15590,16651.7,15008.3,17061.4,15036.7,17437,18279.2,22903.7,19634.2,17404.8,19170.3,19184.3,15733,16094.5,15881.2,20493,15798,17298.5,22056.4,19167.4,28287.5,17547.5,19810,21420.5,20902.9,15071,16087,16092,15758.3,15496.9,15694.8,15589.8,15809,16358.6,16603.7,16551,17292.6,17997.9,18602.4,18788.424,18974.448,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Albania,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1763.64,1717.47,1737.08,1794.07,1815.36,1864.83,1943.17,2002.1,2113.28,2182,2228.41,2235.5,2245.35,2306.81,2327.29,2288.99,2368.58,2496.97,2606.35,2648.33,2546.96,2397.49,2268.97,2344.4,2783.96,2768.73,2618.41,2458.46,2371.49,2356.87,2608.8,2345.23,2333.22,2473.19,2470.02,2477.05,2485.28,2505.74,2516.63,2475.2,2592.37,2618.2937,2644.2174,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
United Arab Emirates,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,12873,15994.8,17430.9,22124.5,22447.2,22133.1,26644.6,25239.9,28053.7,19337,18727.5,14826.2,13402,12827.7,15765.2,15227.5,13462.8,12880.4,12085.9,13242.5,13606,14654.3,15097.3,14840.7,15746.5,17009.1,18626.2,18717.4,18896.1,18716.3,20332.7,19986.8,20738.6,21960.5,22552,22769.4,23928.4,24537.1,24457.4,25047,25607.4,25863.474,26119.548,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Argentina,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,84917.8,84729.1,88496,90791.3,91811.9,93881,97258.4,99683.6,96972.3,96622.1,95741.2,93157.7,91897.8,94102.1,94813.5,94616.9,94628.5,95248.5,98104.2,100292,102083,100648,102146,101568,101069,102195,101400,102577,100269,98301.3,99214.1,98515.1,95893.3,101066,101501,100126,100025,97783.6,97896.6,93113.2,86741.6,87609.016,88476.432,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Armenia,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1317.98,1384.62,1440.48,1485.25,1541.25,1587.12,1590.73,1582.01,1575.56,1562.06,1542.94,1523.36,1531.89,1564.49,1605.02,1628.66,1632.63,1646.58,2491.32,2669.38,2889.7,2745.41,2605.21,2400.96,2537.16,2427.42,2561.53,2613.39,2552.16,2619.24,2565.36,2533.7,2604.24,2712.88,2826.69,2960.23,3084.15,3105.73,3234.91,3250.45,3328.72,3377.204507,3425.678014,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Antarctica,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
French Southern and Antarctic Lands,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Australia,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,94290.8,93855.2,106378,97724.1,102739,107139,114340,110996,99816.3,106411,109630,97530.1,107729,98933.4,101429,113739,109178,103771,103628,109117,115150,120601,116503,112836,123283,112637,113515,118625,116914,121783,128133,136147,132305,125529,126732,122172,119085,135612,122245,127532,122574,124100.3418,125588.1936,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Austria,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,9022.21,8936.1,8915.63,9092.98,9242.43,9225.31,9256.6,9379.33,9412.63,9606.65,9714.19,9733.11,9873.12,9909.95,10102.8,10297.3,10245.4,10168.7,10346.8,10158.8,10029.3,10039.8,9884.56,9936.15,9627.2,9560.78,9454.04,9247.57,9154.76,9106.53,8984.8,8892.31,8792.2,8704.1,8571.02,8456.51,8432.23,8384.12,8304.94,8266.99,8391.49,8137.708272,8006.813544,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Azerbaijan,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,6397.68,6584.08,6796.62,7016.63,7342,7682.02,7925.1,8129.77,8380.82,8611.2,8835.25,9008.95,9255.25,9554.46,9915.83,10274.8,10683.4,11020.6,11206.4,11350.3,11458.5,11045.7,10495.1,9898.54,9473.4,9117.49,8898.35,8875.62,9117.41,9700.05,9954.63,10274.2,10584.2,11059.9,11330.6,12102.3,13077.1,14806.8,16945.9,17922.2,18400.5,19177.90777,19955.36354,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Burundi,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1468.92,1458.38,1516.03,1545.3,1565.52,1601.2,1603.62,1613.04,1638.31,1676.56,1554.06,1438.55,1460.67,1478.26,1518.95,1486,1595.95,1598.36,1632.1,1664.13,1716.43,1748.87,1793.64,1844.03,1855.69,1847.7,1897.05,1921.63,1968.26,1496.81,1504.84,2089.83,2130.5,2133.74,2231.44,2279.68,2353.09,2413.61,2482.8,2587.94,2665.55,2692.2055,2718.861,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Belgium,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,14123.1,13728.7,13629,13962.1,14215.9,13980.4,13888.2,13986.8,13757.1,13809.5,13818.4,13761.3,13726.5,13607.2,13811.8,13979.3,13626.9,13297.9,12429.8,12415.3,12445,12512,12297.8,12053.3,12007,12157.7,11715.8,11367.9,11113.1,11322.7,11079,10709.9,10250.1,9916.4,9906.04,9623.69,9584.15,9547.3,9537.89,9586.1,9632.35,9414.724963,9243.348927,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Benin,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3460.96,3378.42,3381.77,3723.05,2893.84,3191.05,3335.67,3905,3344.62,3645.15,4533.24,3821.82,4412.49,4154.09,4143.93,3827.9,3778.02,3967.14,3733.38,4082.09,5119.5,4131.13,4779.61,4489.97,4604.69,4947.61,4930.25,5039.62,4245.88,4658.25,4503.77,4433.23,4994.05,4124.69,4369.94,4377.31,4526.1,5598.09,7086.59,7181.71,6845.63,6914.0863,6982.5426,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
